"2022/10/22 12:46:20 PM GMT+1","Praha","Czechia (Czech Republic)","žena","26 - 40","1x za 3 měsíce","Pro sebe;Jako dárek pro děti;Jako dárek pro dospělé;Nekupuji, ale dostávám jako dárek","Ano","Cena;Nemám kde to skladovat;Lena","do 3000 Kč","Počet kostek / náročnost;Osobní preference;Slevy nebo akce","BrickHeadz;City;Creator 3in1","2x - 3x","Ne, poskládám standardní sety podle instrukce","Používám nějakou jinou jako náhradní","Ano, a docela často","Nevydržel/a bych to nerozbalit"
"2022/10/22 12:47:09 PM GMT+1","Praha   ","Czechia (Czech Republic)","muž","26 - 40","Vůbec","Jako dárek pro děti","Ano","Cena;bojim se ze se nebude libit","do 3000 Kč","Počet kostek / náročnost;Osobní preference;Téma (Pirati, City, Star Wars…)","City;Ideas;Star Wars","Každý set poskládám jenom jednou","Ano","Používám nějakou jinou jako náhradní","Nikdy jsem si jich nevšiml","Ne"
