"2022/11/01 4:16:38 PM GMT+1","Madrid","Spain","hombre","26 - 40 años","nunca","no lo compro","sí","no lo compro","120 USD","el tema (Piratas, City, Star Wars…);el precio","Disney;Harry Potter;Star Wars","prefiero no contarlo","sí","uso alguna otra como sustituto","sí, pero solo un par de veces","no"
"2022/11/08 11:36:50 AM GMT+1","Praga","Czechia (Czech Republic)","hombre","26 - 40 años","una vez cada tres meses","como regalo para niños","sí","precio;a veces son muy avanzados para los niños ","40 USD","la edad recomendada;el precio","Architecture;City;Technic","dos o tres veces","sí","uso alguna otra como sustituto","sí, muy a menudo","no"
